Unnamed: 0,prompt,response
61,আমি এটি কিছু শীতল করতে চাই।,"আমি জানি আপনি কী বলতে চাইছেন, শীতকাল পর্যন্ত আমি অপেক্ষা করতে পারি না।"
62,"আমি জানি আপনি কী বলতে চাইছেন, শীতকাল পর্যন্ত আমি অপেক্ষা করতে পারি না।",শীত দুর্দান্ত।আমি আশা করি মাঝে মাঝে যদিও এতটা ঠান্ডা না হয়।
63,শীত দুর্দান্ত।আমি আশা করি মাঝে মাঝে যদিও এতটা ঠান্ডা না হয়।,আমি বরং গ্রীষ্মের চেয়ে শীতের সাথে ডিল করব।
64,এটা খুব সুন্দর দিন।,"হ্যাঁ, এটা।"
65,"হ্যাঁ, এটা।",দেখে মনে হচ্ছে শীঘ্রই বৃষ্টি হতে পারে।
66,দেখে মনে হচ্ছে শীঘ্রই বৃষ্টি হতে পারে।,"হ্যাঁ, এবং আমি আশা করি এটি হয়।"
67,"হ্যাঁ, এবং আমি আশা করি এটি করে।",এটা কেন?
68,এটা কেন?,আমি সত্যিই ভালবাসি কীভাবে বৃষ্টি বাতাস পরিষ্কার করে।
69,আমি সত্যিই ভালবাসি কীভাবে বৃষ্টি বাতাস পরিষ্কার করে।,আমিও.বৃষ্টি হওয়ার পরে এটি সর্বদা এত তাজা গন্ধযুক্ত।
70,আমিও.বৃষ্টি হওয়ার পরে এটি সর্বদা এত তাজা গন্ধযুক্ত।,"হ্যাঁ, তবে বৃষ্টি হওয়ার পরে আমি রাতের বাতাসকে ভালবাসি।"
71,"হ্যাঁ, তবে বৃষ্টি হওয়ার পরে আমি রাতের বাতাসকে ভালবাসি।",সত্যিই?এটা কেন?
72,সত্যিই?এটা কেন?,কারণ আপনি তারাগুলি পুরোপুরি দেখতে পারেন।
73,কারণ আপনি তারাগুলি পুরোপুরি দেখতে পারেন।,আমি সত্যিই আশা করি আজ বৃষ্টি হবে।
74,আমি সত্যিই আশা করি আজ বৃষ্টি হবে।,হ্যা আমিও.
75,এটা কি সুন্দর দিন নয়?,এটা সত্যিই হয়.
76,এটা সত্যিই হয়.,মনে হচ্ছে আজ বৃষ্টি হতে পারে।
77,মনে হচ্ছে আজ বৃষ্টি হতে পারে।,আশা করি এটা হবে।
78,আশা করি এটা হবে।,কিভাবে?
79,কিভাবে?,আমি পছন্দ করি যে বৃষ্টি হওয়ার পরে আকাশ কতটা পরিষ্কার হয়ে যায়।
80,আমি পছন্দ করি যে বৃষ্টি হওয়ার পরে আকাশ কতটা পরিষ্কার হয়ে যায়।,আমি একই ভাবে মনে.
81,আমি একই ভাবে মনে.,আমি যখন বৃষ্টি হয় তখন আমি বিশেষত রাতের বায়ু পছন্দ করি।
82,আমি যখন বৃষ্টি হয় তখন আমি বিশেষত রাতের বায়ু পছন্দ করি।,সত্যিই?কেন?
83,সত্যিই?কেন?,তারকারা বৃষ্টি হওয়ার পরে অনেক কাছাকাছি দেখায়।
84,তারকারা বৃষ্টি হওয়ার পরে অনেক কাছাকাছি দেখায়।,আমি সত্যিই আজ বৃষ্টি হতে চাই।
85,আমি সত্যিই আজ এটি বৃষ্টি হতে চাই।,"হ্যাঁ, তাই আমি।"
86,আপনি কি মনে করেন না এটি সুন্দর?,"হ্যাঁ, আমিও তাই মনে করি।"
87,"হ্যাঁ, আমিও তাই মনে করি।",আমি মনে করি যে বৃষ্টি হচ্ছে।
88,আমি মনে করি যে বৃষ্টি হচ্ছে।,আমি আশা করি বৃষ্টি হবে।
89,আমি আশা করি বৃষ্টি হবে।,তুমি কি বৃষ্টি পছন্দ কর?
90,তুমি কি বৃষ্টি পছন্দ কর?,বৃষ্টি হওয়ার পরে আকাশটি এত পরিষ্কার দেখাচ্ছে।আমি এটা ভালোবাসি.
91,বৃষ্টি হওয়ার পরে আকাশটি এত পরিষ্কার দেখাচ্ছে।আমি এটা ভালোবাসি.,আমি বুঝেছি.বৃষ্টি এটিকে পরিষ্কার গন্ধ দেয়।
92,আমি বুঝেছি.বৃষ্টি এটিকে পরিষ্কার গন্ধ দেয়।,বৃষ্টি হওয়ার পরে আমি সবচেয়ে বেশি পছন্দ করি।
93,বৃষ্টি হওয়ার পরে আমি সবচেয়ে বেশি পছন্দ করি।,কিভাবে?
94,কিভাবে?,বৃষ্টি হওয়ার পরে আপনি তারকাদের আরও স্পষ্টভাবে দেখতে পারেন।
95,বৃষ্টি হওয়ার পরে আপনি তারকাদের আরও স্পষ্টভাবে দেখতে পারেন।,আমি আজ এটি বৃষ্টি করতে চাই।
96,আমি সত্যিই এই সপ্তাহান্তে সৈকতে যেতে চাই।,মজা লাগে।আবহাওয়া কেমন হতে চলেছে?
97,মজা লাগে।আবহাওয়া কেমন হতে চলেছে?,শুনেছি এই সপ্তাহান্তে এটি গরম হতে চলেছে।
98,শুনেছি এই সপ্তাহান্তে এটি গরম হতে চলেছে।,এটি কি নিখুঁত সৈকত আবহাওয়া হতে চলেছে?
99,এটি কি নিখুঁত সৈকত আবহাওয়া হতে চলেছে?,আমি তাই বিশ্বাস করি.
100,আমি তাই বিশ্বাস করি.,ভাল.আমি আশা করি এটি এই সপ্তাহান্তে শীতল হবে না।
101,ভাল.আমি আশা করি এটি এই সপ্তাহান্তে শীতল হবে না।,আমি জানি.আমি সত্যিই সৈকতে যেতে চাই।
102,আমি জানি.আমি সত্যিই সৈকতে যেতে চাই।,তবে আপনি জানেন যে ক্যালিফোর্নিয়ার আবহাওয়া সত্যিই অনাকাঙ্ক্ষিত।
103,তবে আপনি জানেন যে ক্যালিফোর্নিয়ার আবহাওয়া সত্যিই অনাকাঙ্ক্ষিত।,"তুমি ঠিক বলছো.এক মিনিট এটি গরম, এবং তারপরে পরের মিনিট শীতল।"
104,তুমি ঠিক বলছো.,আমি সত্যিই আশা করি আবহাওয়া ঠিক একই থাকত।
105,আমি সত্যিই আশা করি আবহাওয়া ঠিক একই থাকত।,আমিও করি.
106,আমিও করি.এইভাবে আমরা আমাদের ক্রিয়াকলাপগুলি সময়ের আগে পরিকল্পনা করতে পারি।,"yeah, that would make things a lot easier."
107,আমি এই সপ্তাহান্তে সৈকতে ভ্রমণ করতে চাই।,সৈকতে একটি ভ্রমণ মজা হবে।আবহাওয়া কেমন হতে চলেছে?
108,সৈকতে একটি ভ্রমণ মজা হবে।আবহাওয়া কেমন হতে চলেছে?,পূর্বাভাস বলেছে যে এটি উইকএন্ডে উষ্ণ হবে।
109,পূর্বাভাস বলেছে যে এটি উইকএন্ডে উষ্ণ হবে।,সুতরাং আপনি কি মনে করেন এটি সৈকতের জন্য নিখুঁত আবহাওয়া হবে?
110,সুতরাং আপনি কি মনে করেন এটি সৈকতের জন্য নিখুঁত আবহাওয়া হবে?,মনে হচ্ছে এটি হবে।
111,মনে হচ্ছে এটি হবে।,আমি সত্যিই আশা করি এটি ঠান্ডা হয়ে উঠবে না।
112,আমি সত্যিই আশা করি এটি ঠান্ডা হয়ে উঠবে না।,"that would ruin things, i want to go so badly."
113,"এটি জিনিস নষ্ট করবে, আমি খুব খারাপভাবে যেতে চাই।","ক্যালিফোর্নিয়ায় আবহাওয়া অনাকাঙ্ক্ষিত, তাই আপনি কখনই জানেন না।"
114,"ক্যালিফোর্নিয়ায় আবহাওয়া অনাকাঙ্ক্ষিত, তাই আপনি কখনই জানেন না।",ঐটা সত্য.আবহাওয়া ক্রমাগত পরিবর্তন হয়।
115,ঐটা সত্য.আবহাওয়া ক্রমাগত পরিবর্তন হয়।,আবহাওয়া কখনও পরিবর্তন না হলে ভাল লাগবে।
116,আবহাওয়া কখনও পরিবর্তন না হলে ভাল লাগবে।,"that would be great, then we could plan things sooner."
117,"এটি দুর্দান্ত হবে, তবে আমরা শীঘ্রই জিনিসগুলি পরিকল্পনা করতে পারি।",সত্য।অনুমানযোগ্য আবহাওয়া জীবনকে সহজ করে তুলবে।
118,এই সপ্তাহান্তে কোনও সময় সৈকতে গিয়ে ভাল লাগবে।,আবহাওয়া কেমন হতে চলেছে?আমিও যেতে চাই।
119,আবহাওয়া কেমন হতে চলেছে?আমিও যেতে চাই।,এই সপ্তাহান্তে আবহাওয়া উষ্ণ হওয়ার কথা।
120,এই সপ্তাহান্তে আবহাওয়া উষ্ণ হওয়ার কথা।,এটা কি ভাল সৈকত আবহাওয়া হবে?
121,এটা কি ভাল সৈকত আবহাওয়া হবে?,আমি মনে করি এটা হবে।
122,আমি মনে করি এটা হবে।,এই সপ্তাহান্তে ঠান্ডা হয়ে গেলে ভাল হবে না।
123,এই সপ্তাহান্তে ঠান্ডা হয়ে গেলে ভাল হবে না।,"আমি এই ট্রিপটি নিখুঁত হতে চাই, আমি আশা করি এটি উষ্ণ থাকবে।"
124,"আমি এই ট্রিপটি নিখুঁত হতে চাই, আমি আশা করি এটি উষ্ণ থাকবে।","ক্যালিফোর্নিয়ার এই আবহাওয়া এতটাই অনিশ্চিত, কী হবে তা জানা অসম্ভব।"
125,"ক্যালিফোর্নিয়ার এই আবহাওয়া এতটাই অনিশ্চিত, কী হবে তা জানা অসম্ভব।",আমি জানি.
126,আমি জানি.প্রতিদিন আবহাওয়া আলাদা মনে হয়।,আমি এটি পছন্দ করব যদি এটি সবসময় এতটা অনির্দেশ্য না হত।
127,আমি এটি পছন্দ করব যদি এটি সবসময় এতটা অনির্দেশ্য না হত।,এটি আমাদের জন্য পরিকল্পনা করা আরও সহজ করে তুলবে।
128,"হ্যালো, আমি কি অ্যালিসের সাথে কথা বলতে পারি?",এই সে. কেমন চলছে?
129,এই সে. কেমন চলছে?,আমি আপনাকে সারাদিন কল করার চেষ্টা করছি।
130,i've been trying to call you all day.,এর জন্যে দুঃখিত.আমি পরিষ্কার করছিলাম।
131,এর জন্যে দুঃখিত.আমি পরিষ্কার করছিলাম।,ঠিক আছে.
132,ঠিক আছে.,তাহলে আপনি আমাকে কী ডাকছিলেন?
133,তাহলে আপনি আমাকে কী ডাকছিলেন?,"ওহ, আমি কেবল দেখতে চেয়েছিলাম আপনি আগামীকাল হ্যাংআউট করতে চান কিনা।"
134,"ওহ, আমি কেবল দেখতে চেয়েছিলাম আপনি আগামীকাল হ্যাংআউট করতে চান কিনা।","অবশ্যই, আপনি কি করতে চান?"
135,"অবশ্যই, আপনি কি করতে চান?",হতে পারে আমরা কোনও সিনেমা বা কিছু দেখতে যেতে পারি।
136,হতে পারে আমরা কোনও সিনেমা বা কিছু দেখতে যেতে পারি।,মজা লাগে।চল এটা করি.
137,মজা লাগে।চল এটা করি.,আমি আগামীকাল তোমাকে দেখব।
138,আমি আগামীকাল তোমাকে দেখব।,দেখা হবে তাহলে.বিদায়
139,"হাই, আপনি কেমন আছেন.",কথা বলছি।কি খবর?
140,কথা বলছি।কি খবর?,আপনি ফোনের উত্তর দেননি কেন?
141,আপনি ফোনের উত্তর দেননি কেন?,"আমার খারাপ, আমার কাজ করার ছিল।"
142,"আমার খারাপ, আমার কাজ করার ছিল।",ঠিক আছে।
143,ঠিক আছে।,আপনার ডাকার কারণ কী ছিল?
144,আপনার ডাকার কারণ কী ছিল?,আমি আগামীকাল আপনার সাথে কিছু করতে চাই।
145,আমি আগামীকাল আপনার সাথে কিছু করতে চাই।,তোমার মনে কি ছিল?
146,ভাল লাগছে।তোমার মনে কি ছিল?,আমি একটি সিনেমা দেখার কথা ভাবছিলাম।
147,আমি একটি সিনেমা দেখার কথা ভাবছিলাম।,"ঠিক আছে, আসুন একটি সিনেমা দেখতে যাই।"
148,"ঠিক আছে, আসুন একটি সিনেমা দেখতে যাই।",তখন পর্যন্ত.
149,তখন পর্যন্ত.,পরে কথা হবে.
150,অ্যালিস পাওয়া যায়?,আপনি তার সাথে কথা বলছেন।
151,you're talking to her.,আমি আপনাকে আজ একশবার ফোন করেছি।
152,আমি আপনাকে আজ একশবার ফোন করেছি।,আমি ক্ষমা প্রার্থনা করছি.
153,আমি কিছু করতে ব্যস্ত ছিলাম।আমি ক্ষমা প্রার্থনা করছি.,সমস্যা নেই.
154,সমস্যা নেই.,আপনার কি কিছু দরকার ছিল?
155,আপনার কি কিছু দরকার ছিল?,do you want to do something tomorrow?
156,আপনি কি আগামীকাল কিছু করতে চান?,আপনি কি কোথাও বিশেষ জায়গায় যেতে চান?
157,আপনি কি কোথাও বিশেষ জায়গায় যেতে চান?,সিনেমা সম্পর্কে কেমন?
158,সিনেমা সম্পর্কে কেমন?,একটি সিনেমা ভাল লাগছে।
159,একটি সিনেমা ভাল লাগছে।,আগামীকাল আমাকে ফোন করুন।
160,আপনি কি নতুন মেয়েটিকে স্কুলে দেখেছেন?,"না, আমি না।"
161,"না, আমি না।",তিনি সত্যিই সুন্দর।
162,তিনি সত্যিই সুন্দর।,আমাকে আমার কাছে বর্ণনা করুন।
163,আমার কাছে তাকে বর্ণনা করুন।,সে খুব বেশি লম্বা নয়।
164,সে খুব বেশি লম্বা নয়।,"আচ্ছা, সে কত লম্বা?"
165,"আচ্ছা, সে কত লম্বা?",তিনি প্রায় পাঁচ ফুট এমনকি।
166,তিনি প্রায় পাঁচ ফুট এমনকি।,যদিও সে দেখতে কেমন?
167,যদিও সে দেখতে কেমন?,তার বেশ হালকা বাদামী চোখ রয়েছে।
168,তার বেশ হালকা বাদামী চোখ রয়েছে।,আপনি কোন মেয়েটির কথা বলছেন তা আমি জানি।
169,আপনি কোন মেয়েটির কথা বলছেন তা আমি জানি।,তাহলে আপনি তাকে চারপাশে দেখেছেন?
170,তাহলে আপনি তাকে চারপাশে দেখেছেন?,হ্যাঁ আমার আছে.
171,"স্কুলে একটি নতুন মেয়ে আছে, আপনি কি এখনও তাকে দেখেছেন?",আমি এখনও তাকে দেখিনি।
172,আমি এখনও তাকে দেখিনি।,i think that she is very pretty.
173,আমি মনে করি তিনি খুব সুন্দর।,সে কেমন দেখাচ্ছে আমাকে বলুন।
174,সে কেমন দেখাচ্ছে আমাকে বলুন।,সে এক ধরণের সংক্ষিপ্ত।
175,সে এক ধরণের সংক্ষিপ্ত।,তিনি কত উচ্চতা?
176,তিনি কত উচ্চতা?,তিনি সম্ভবত প্রায় পাঁচ ফুট।
177,তিনি সম্ভবত প্রায় পাঁচ ফুট।,"এটি দুর্দান্ত, তবে সে দেখতে কেমন তা আমাকে বলুন।"
178,"এটি দুর্দান্ত, তবে সে দেখতে কেমন তা আমাকে বলুন।",আমি প্রথম যে জিনিসটি লক্ষ্য করেছি তা হ'ল তার সুন্দর বাদামী চোখ।
179,আমি প্রথম যে জিনিসটি লক্ষ্য করেছি তা হ'ল তার সুন্দর বাদামী চোখ।,i think i might've bumped into her before.
180,আমি মনে করি আমি তার আগে তার মধ্যে ঝাঁপিয়ে পড়েছি।,আপনি কি আমাকে বলছেন যে আপনি তাকে আগে দেখেছেন?
181,আপনি কি আমাকে বলছেন যে আপনি তাকে আগে দেখেছেন?,আমি তাই বিশ্বাস করি.
182,আপনি কি নতুন মেয়েটির সাথে দেখা করেছেন?,না।তোমার আছে?
183,না।তোমার আছে?,তিনি স্কুলের অন্যতম সুন্দর মেয়ে।
184,তিনি স্কুলের অন্যতম সুন্দর মেয়ে।,তাকে দেখতে কেমন?
185,তাকে দেখতে কেমন?,"ঠিক আছে, তিনি বেশ ছোট।"
186,"ঠিক আছে, তিনি বেশ ছোট।",how tall would you say that she is?
187,how tall would you say that she is?,i would say she's only five feet.
188,i would say she's only five feet.,তার মুখের বৈশিষ্ট্যগুলি সম্পর্কে কী?
189,তার মুখের বৈশিষ্ট্যগুলি সম্পর্কে কী?,"তার হালকা বাদামী চোখ রয়েছে, একেবারে সুন্দর।"
190,"তার হালকা বাদামী চোখ রয়েছে, একেবারে সুন্দর।",আমি মনে করি আমি জানি আপনি কার কথা বলছেন।
191,আমি মনে করি আমি জানি আপনি কার কথা বলছেন।,তুমি কি তাকে চিন?
192,গতকাল আপনি কেন স্কুলে ছিলেন না?,i wasn't really feeling well.
193,আমি সত্যিই ভাল লাগছিলাম না।,তোমার কি ভুল ছিল?
194,তোমার কি ভুল ছিল?,আমার পেট বিরক্ত হয়েছিল।
195,আমার পেট বিরক্ত হয়েছিল।,তুমি কি এখন ভালো অনুভব করছ?
196,তুমি কি এখন ভালো অনুভব করছ?,আমি এখনও খুব ভাল বোধ করি না।
197,আমি এখনও খুব ভাল বোধ করি না।,do you want anything to make you feel better?
198,do you want anything to make you feel better?,না ধন্যবাদ.আমি ইতিমধ্যে কিছু ওষুধ নিয়েছি।
199,না ধন্যবাদ.আমি ইতিমধ্যে কিছু ওষুধ নিয়েছি।,আমি আশা করি আপনি ভাল অনুভব করছেন.
200,আমি আশা করি আপনি ভাল অনুভব করছেন.,ধন্যবাদ.
201,স্কুল হারিয়ে যাওয়ার জন্য আপনার কী কারণ রয়েছে?,আমি অসুস্থ ছিলাম.
202,আমি অসুস্থ ছিলাম.,কেমন আছেন অসুস্থ?
203,কেমন আছেন অসুস্থ?,আমার পেটে ব্যথা ছিল।
204,আমার পেটে ব্যথা ছিল।,এটা কি আরও ভাল হয়েছে?
205,এটা কি আরও ভাল হয়েছে?,আমি এখনও আবহাওয়ার নিচে অনুভব করছি।
206,আমি এখনও আবহাওয়ার নিচে অনুভব করছি।,আপনি কি আপনার পেটের জন্য কিছু চান?
207,আপনি কি আপনার পেটের জন্য কিছু চান?,আমি আগে কিছু নিয়েছি।
208,আমি আগে কিছু নিয়েছি।,আরও ভাল.
209,আরও ভাল.,অনেক ধন্যবাদ.
210,why didn't you go to school yesterday?,আমি ভাল বোধ করছিলাম না বলে আমি বাড়িতে ছিলাম।
211,আমি ভাল বোধ করছিলাম না বলে আমি বাড়িতে ছিলাম।,আপনার সমস্যা কি ছিল?
212,আপনার সমস্যা কি ছিল?,আমার পেট আমাকে বিরক্ত করছিল।
213,আমার পেট আমাকে বিরক্ত করছিল।,আপনি কি একটুও ভালো অনুভব করছেন?
214,আপনি কি একটুও ভালো অনুভব করছেন?,আমি এখনও কিছুটা অসুস্থ বোধ করছি।
215,আমি এখনও কিছুটা অসুস্থ বোধ করছি।,"আমি দোকানে যাচ্ছি, আপনি কি কোনও পেপ্টো বিসমল চান?"
216,"আমি দোকানে যাচ্ছি, আপনি কি কোনও পেপ্টো বিসমল চান?",ঠিক আছে.
217,ঠিক আছে.,আমি আশা করি আপনি ভাল অনুভব করছেন.
218,আপনি কি সুসংবাদ শুনেছেন?,"না, আমি নেই।"
219,"না, আমি না।",আমি আমার চাকরিতে একটি পদোন্নতি পেয়েছি।
220,আমি আমার চাকরিতে একটি পদোন্নতি পেয়েছি।,আপনি কি সত্যিই করেছেন?
221,আপনি কি সত্যিই করেছেন?,"seriously, i am so excited."
222,"সিরিয়াসলি, আমি খুব উত্তেজিত।","ভাল, অভিনন্দন।"
223,"ভাল, অভিনন্দন।",ধন্যবাদ.
224,ধন্যবাদ.,আমি তোমার জন্য অনেক সুখী.
225,আমি তোমার জন্য অনেক সুখী.,সত্যিই?
226,সত্যিই?,হ্যাঁ.
227,হ্যাঁ.,তুমি তাই মনে কর?
228,তুমি তাই মনে কর?,হ্যাঁ. তোমার জন্য ভালো.
229,আপনি আমার সুসংবাদ শুনেছেন?,আপনি এখনও আমাকে কিছু বলেননি।
230,আপনি এখনও আমাকে কিছু বলেননি।,আমি এই সপ্তাহের শুরুর দিকে কাজের প্রচার পেয়েছি।
231,আমি এই সপ্তাহের শুরুর দিকে কাজের প্রচার পেয়েছি।,এটা কি সঠিক?
232,এটা কি সঠিক?,এটাই সত্য.আমি সত্যিই খুশি।
233,এটাই সত্য.আমি সত্যিই খুশি।,আপনার প্রচারের জন্য অভিনন্দন।
234,আপনার প্রচারের জন্য অভিনন্দন।,আপনাকে অনেক ধন্যবাদ.
235,আপনাকে অনেক ধন্যবাদ.,আমি আপনার জন্য সত্যিই উত্তেজিত।
236,আমি আপনার জন্য সত্যিই উত্তেজিত।,তুমি কি সত্যিই?
237,তুমি কি সত্যিই?,আমি সিরিয়াস।আপনি এই প্রচার প্রাপ্য।
238,আমি সিরিয়াস।আপনি এই প্রচার প্রাপ্য।,আপনি কি সত্যিই ভাবেন?
239,আপনি কি সত্যিই ভাবেন?,হ্যা আমি করব.
240,"আমি আপনাকে বলিনি যে এখনও কি হয়েছে, আমার আছে?",আমি কিছু শুনিনি।
